Campaign,Ad Group,Keyword,Match Type,Max CPC
Virtual Authority,Best Of Searches,best functional medicine doctor california,Phrase,5.50
Virtual Authority,Best Of Searches,best functional medicine doctor san diego,Phrase,5.25
Virtual Authority,Best Of Searches,top functional medicine doctors,Phrase,5.00
Virtual Authority,Best Of Searches,best integrative medicine doctor,Phrase,4.75
Virtual Authority,Best Of Searches,highly rated functional medicine,Phrase,4.50
Virtual Authority,Telehealth,functional medicine telehealth,Phrase,4.25
Virtual Authority,Telehealth,virtual functional medicine,Phrase,4.00
Virtual Authority,Telehealth,online functional medicine doctor,Phrase,4.50
Virtual Authority,Telehealth,telemedicine functional medicine,Phrase,4.25
Virtual Authority,Telehealth,remote functional medicine,Phrase,3.75
Virtual Authority,Location Specific,functional medicine doctor san diego,Exact,5.50
Virtual Authority,Location Specific,functional medicine orange county,Phrase,5.25
Virtual Authority,Location Specific,functional medicine los angeles,Phrase,5.00
Virtual Authority,Location Specific,functional medicine california,Phrase,4.50
Virtual Authority,Location Specific,integrative medicine san diego,Phrase,5.00
Virtual Authority,Location Specific,holistic doctor san diego,Phrase,4.75
Virtual Authority,Brand Terms,dr matthew willis,Exact,6.00
Virtual Authority,Brand Terms,advanced functional medicine,Exact,6.00
Virtual Authority,Brand Terms,matthew willis san diego,Exact,5.75
Virtual Authority,Functional Medicine General,what is functional medicine,Phrase,3.00
Virtual Authority,Functional Medicine General,functional medicine near me,Phrase,5.00
Virtual Authority,Functional Medicine General,functional medicine doctor,Exact,4.75
Virtual Authority,Functional Medicine General,certified functional medicine,Phrase,4.50
Virtual Authority,Functional Medicine General,functional vs conventional medicine,Phrase,3.50
Virtual Authority,Comprehensive Testing,comprehensive blood work,Phrase,3.75
Virtual Authority,Comprehensive Testing,advanced lab testing,Phrase,4.00
Virtual Authority,Comprehensive Testing,biomarker testing,Phrase,3.50
Virtual Authority,Comprehensive Testing,functional medicine testing,Phrase,4.25
Virtual Authority,Comprehensive Testing,root cause testing,Phrase,4.00
