run_id,website,status,gamma_url,keywords_count,quick_wins,traffic_value,ai_overview_serp_count,error,run_dir,keywords
proactivwellnesscenters-com_20260303_144245,https://proactivwellnesscenters.com,phase1_complete,,,10,,,,/Users/neo/Documents/Claude Code/AIAA-Agentic-OS/output/d100_runs/proactivwellnesscenters-com_20260303_144245,1823
forumhealth-com_20260303_144253,https://forumhealth.com,phase1_complete,,,7,,,,/Users/neo/Documents/Claude Code/AIAA-Agentic-OS/output/d100_runs/forumhealth-com_20260303_144253,13487
wclinicaz-com_20260303_144302,https://wclinicaz.com,phase1_complete,,,0,,,,/Users/neo/Documents/Claude Code/AIAA-Agentic-OS/output/d100_runs/wclinicaz-com_20260303_144302,90
rhealthc-com_20260303_144304,https://rhealthc.com,phase1_complete,,,9,,,,/Users/neo/Documents/Claude Code/AIAA-Agentic-OS/output/d100_runs/rhealthc-com_20260303_144304,413
www-outsidetheboxfm-com_20260303_144306,https://www.outsidetheboxfm.com,phase1_complete,,,2,,,,/Users/neo/Documents/Claude Code/AIAA-Agentic-OS/output/d100_runs/www-outsidetheboxfm-com_20260303_144306,128
enlivenfm-com_20260303_144310,https://enlivenfm.com,phase1_complete,,,2,,,,/Users/neo/Documents/Claude Code/AIAA-Agentic-OS/output/d100_runs/enlivenfm-com_20260303_144310,68
torontofunctionalmedicine-com_20260303_144313,https://torontofunctionalmedicine.com,phase1_complete,,,6,,,,/Users/neo/Documents/Claude Code/AIAA-Agentic-OS/output/d100_runs/torontofunctionalmedicine-com_20260303_144313,1891
atmaclinic-com_20260303_144317,https://atmaclinic.com,phase1_complete,,,0,,,,/Users/neo/Documents/Claude Code/AIAA-Agentic-OS/output/d100_runs/atmaclinic-com_20260303_144317,258
holistichealthcollectivesearcy-com_20260303_144320,https://holistichealthcollectivesearcy.com,phase1_complete,,,0,,,,/Users/neo/Documents/Claude Code/AIAA-Agentic-OS/output/d100_runs/holistichealthcollectivesearcy-com_20260303_144320,63
delawareintegrativemedicine-com_20260303_144323,https://delawareintegrativemedicine.com,phase1_complete,,,3,,,,/Users/neo/Documents/Claude Code/AIAA-Agentic-OS/output/d100_runs/delawareintegrativemedicine-com_20260303_144323,331
