Campaign,Ad Group,Keyword,Match Type,Max CPC
Condition Remission,Diabetes Specific,diabetes without medication,Exact,5.00
Condition Remission,Diabetes Specific,stop taking diabetes medication,Phrase,4.75
Condition Remission,Diabetes Specific,diabetes diet plan,Phrase,3.50
Condition Remission,Diabetes Specific,pre diabetes reversal,Phrase,4.25
Condition Remission,Diabetes Specific,lower blood sugar naturally,Phrase,3.75
Condition Remission,Diabetes Specific,diabetes specialist san diego,Phrase,4.50
Condition Remission,Diabetes Specific,holistic diabetes treatment,Phrase,4.00
Condition Remission,Diabetes Specific,diabetes doctor near me,Phrase,4.25
Condition Remission,Hormone Specific,low testosterone treatment,Phrase,4.25
Condition Remission,Hormone Specific,menopause hormone therapy,Phrase,4.00
Condition Remission,Hormone Specific,estrogen replacement therapy,Phrase,3.75
Condition Remission,Hormone Specific,testosterone replacement therapy,Phrase,4.50
Condition Remission,Hormone Specific,hormone pellet therapy,Phrase,4.00
Condition Remission,Hormone Specific,hormone doctor san diego,Phrase,4.75
Condition Remission,Hormone Specific,perimenopause treatment,Phrase,3.50
Condition Remission,Thyroid Specific,thyroid medication alternatives,Phrase,4.00
Condition Remission,Thyroid Specific,natural thyroid treatment,Phrase,3.75
Condition Remission,Thyroid Specific,hashimoto's specialist,Phrase,4.50
Condition Remission,Thyroid Specific,thyroid optimization,Phrase,3.50
Condition Remission,Thyroid Specific,comprehensive thyroid testing,Phrase,4.25
Condition Remission,Thyroid Specific,thyroid function test,Phrase,3.25
Condition Remission,Autoimmune Specific,rheumatoid arthritis alternative treatment,Phrase,4.00
Condition Remission,Autoimmune Specific,lupus treatment options,Phrase,3.75
Condition Remission,Autoimmune Specific,psoriasis functional medicine,Phrase,3.50
Condition Remission,Autoimmune Specific,reduce inflammation naturally,Phrase,3.25
Condition Remission,Autoimmune Specific,autoimmune protocol,Phrase,3.50
Condition Remission,Weight Loss,can't lose weight thyroid,Phrase,3.75
Condition Remission,Weight Loss,weight loss resistance,Phrase,3.50
Condition Remission,Weight Loss,metabolic testing,Phrase,3.25
Condition Remission,Weight Loss,hormone weight gain,Phrase,3.50
