Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
proactive wellness center,1,1,390,48,1.93,https://proactivwellnesscenters.com/,312,27.24,602.00,0.11,32600000,"[66,81,100,54,100,100,66,66,81,66,81,66]",2025-12-25,"Knowledge panel, Sitelinks, Video, Image, Ads bottom, Related searches",navigational,Organic
proactive wellness centers in vienna va,1,1,210,,0.00,https://proactivwellnesscenters.com/,168,14.67,0.00,0.31,54600,"[81,100,81,66,22,22,29,18,35,35,18,18]",2026-01-13,"Knowledge panel, Sitelinks, Image, Related searches","informational, transactional",Organic
proactive wellness,1,1,480,27,1.93,https://proactivwellnesscenters.com/,119,10.39,229.00,0.11,52900000,"[30,30,36,36,45,36,36,30,36,36,36,36]",2026-01-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
proactive wellness centers in vienna virginia,1,1,140,15,0.00,https://proactivwellnesscenters.com/,112,9.78,0.00,0,42300,"[100,82,66,28,12,12,23,35,35,17,2,5]",2026-02-08,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
proactive wellness center vienna by forum health,1,1,70,14,2.16,https://proactivwellnesscenters.com/,56,4.89,120.00,0.11,44200,"[100,45,27,45,45,45,81,100,63,63,81,63]",2026-01-04,"Knowledge panel, Sitelinks, People also ask, Related searches",navigational,Organic
proactive wellness centers,1,1,50,34,1.93,https://proactivwellnesscenters.com/,40,3.49,77.00,0.11,37300000,"[14,18,10,14,22,18,4,8,22,10,0,0]",2026-01-13,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
proactive wellness,2,2,480,27,1.93,https://proactivwellnesscenters.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_content=gbp-profile,31,2.7,59.00,0.11,52900000,"[30,30,36,36,45,36,36,30,36,36,36,36]",2026-01-11,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
lynese lawson,1,1,70,7,2.86,https://proactivwellnesscenters.com/dr-lawson/,17,1.48,48.00,0.04,4050,"[27,45,27,27,36,100,100,100,63,100,45,100]",2026-02-19,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
3dcart stores curcumin,4,4,260,4,0.00,https://stores.proactivwellnesscenters.com/Curcumin-Pure%E2%84%A2-60-Capsules_p_1990.html,16,1.39,0.00,0,748,"[100,0,0,0,0,0,0,0,0]",2025-12-19,"Sitelinks, Related searches",informational,Organic
testosterone treatment for men near 17019,4,4,390,3,0.00,https://proactivwellnesscenters.com/trt/york/,13,1.13,0.00,0,26100,"[100,0,0,0,0]",2026-01-21,"Local pack, Image, Ads bottom, People also ask, Related searches, AI overview",informational,Organic
